2	/leagues/{id}/events/{id}/competitions/{id}/situation/odds	http://core.espnuk.org/v2/sports/cricket/leagues/11132/events/1527944/competitions/1527944/situation/odds
2	/leagues/{id}/events/{id}/competitions/{id}/tickets	http://core.espnuk.org/v2/sports/cricket/leagues/11132/events/1527944/competitions/1527944/tickets
1	/	http://core.espnuk.org/v2/sports/cricket
1	/athletes	http://core.espnuk.org/v2/sports/cricket/athletes
1	/athletes/{id}/statistics	http://core.espnuk.org/v2/sports/cricket/athletes/1361257/statistics
1	/events	http://core.espnuk.org/v2/sports/cricket/events
1	/events/{id}	http://core.espnuk.org/v2/sports/cricket/events/1529474
1	/events/{id}/competitions/{id}	http://core.espnuk.org/v2/sports/cricket/events/1529474/competitions/1529474
1	/leagues	http://core.espnuk.org/v2/sports/cricket/leagues
1	/leagues/{id}/calendar	http://core.espnuk.org/v2/sports/cricket/leagues/19138/calendar
1	/leagues/{id}/calendar/offdays	http://core.espnuk.org/v2/sports/cricket/leagues/19138/calendar/offdays
1	/leagues/{id}/calendar/ondays	http://core.espnuk.org/v2/sports/cricket/leagues/19138/calendar/ondays
1	/leagues/{id}/events	http://core.espnuk.org/v2/sports/cricket/leagues/11132/events
1	/leagues/{id}/events/{id}/competitions/{id}/competitors/{id}/linescores	http://core.espnuk.org/v2/sports/cricket/leagues/19138/events/1529474/competitions/1529474/competitors/789643/linescores
1	/leagues/{id}/events/{id}/competitions/{id}/competitors/{id}/roster/{id}/linescores/{n}/{n}/statistics/{n}	http://core.espnuk.org/v2/sports/cricket/leagues/19138/events/1529474/competitions/1529474/competitors/789643/roster/1361257/linescores/1/1/statistics/0
1	/leagues/{id}/seasons	http://core.espnuk.org/v2/sports/cricket/leagues/19138/seasons
1	/leagues/{id}/seasons/{id}	http://core.espnuk.org/v2/sports/cricket/leagues/19138/seasons/2025
1	/leagues/{id}/seasons/{id}/types	http://core.espnuk.org/v2/sports/cricket/leagues/19138/seasons/2025/types
1	/leagues/{id}/seasons/{id}/types/{n}	http://core.espnuk.org/v2/sports/cricket/leagues/19138/seasons/2025/types/1
1	/leagues/{id}/seasons/{id}/types/{n}/groups	http://core.espnuk.org/v2/sports/cricket/leagues/19138/seasons/2025/types/1/groups
1	/leagues/{id}/standings	http://core.espnuk.org/v2/sports/cricket/leagues/19138/standings
1	/teams/{id}	http://core.espnuk.org/v2/sports/cricket/teams/789643
